Countries, Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation,Corruption Perceptions Index,Human Development Index
Nepal,5.21,3.57,4.70,,6.64,3.34,7.98,5.10,0.94,5.07,4.97,7.54,7.56,12.20,5.17,12.08,5.90,4.86,7.94,6.40,10.00,1.64,0.00,0.00,0.55,5.71,8.00,8.41,10.00,8.80,6.67,4.03,5.60,10.00,2.60,10.00,6.48,3.55,6.89,9.07,6.15,8.98,5.77,6.73,7.34,33,0.602
Netherlands,8.04,8.23,8.48,10.00,9.25,6.57,7.95,8.32,1.00,8.35,8.60,2.10,8.98,5.10,6.51,8.72,8.03,7.15,9.98,8.56,10.00,10.00,8.46,5.00,7.82,8.60,5.00,8.50,10.00,7.83,6.67,6.40,5.18,10.00,7.53,10.00,7.63,5.66,6.00,9.85,8.76,8.29,8.67,7.87,7.78,82,0.941
New Zealand,8.66,8.48,8.09,10.00,8.77,7.18,9.90,8.68,1.00,8.72,8.55,2.17,9.62,1.90,8.96,2.60,9.04,7.45,8.74,8.09,10.00,10.00,6.92,0.00,5.64,8.19,10.00,6.67,9.00,8.56,8.90,5.28,7.62,10.00,10.00,10.00,8.63,5.19,8.44,9.98,9.65,9.40,8.43,8.52,8.57,88,0.937
Nicaragua,2.88,2.52,4.00,4.17,3.21,5.14,6.97,5.09,1.00,4.25,9.64,0.54,8.86,5.70,7.06,7.35,8.52,5.06,6.07,5.57,10.00,10.00,5.38,0.00,5.13,7.30,10.00,9.18,9.00,9.39,6.67,4.98,5.53,2.00,6.26,10.00,5.91,3.32,3.56,8.86,2.44,7.24,7.75,5.53,6.94,22,0.667
Niger,5.43,4.32,4.21,3.33,4.51,4.40,7.32,,0.53,3.66,3.82,9.27,7.58,12.10,7.05,7.38,6.15,7.51,4.38,5.94,10.00,1.64,0.77,0.00,0.80,5.72,10.00,6.63,5.00,7.21,1.67,5.95,7.79,8.00,7.38,0.00,5.13,5.56,4.89,9.56,6.83,9.26,6.97,7.18,6.51,32,0.4
Nigeria,5.01,3.31,4.04,3.33,4.48,5.09,4.55,3.05,0.82,3.75,,,7.58,12.10,7.05,7.38,7.31,6.31,0.57,3.44,4.46,3.00,5.38,0.00,2.79,4.50,10.00,7.46,9.00,8.82,10.00,6.06,7.72,10.00,10.00,10.00,8.96,2.85,2.22,9.49,3.40,9.20,6.15,5.55,7.78,25,0.535
North Macedonia,3.64,3.80,4.31,,5.49,3.95,8.38,3.91,0.94,4.64,9.59,0.62,8.66,6.70,6.57,8.58,8.27,4.95,9.61,7.28,10.00,4.48,3.08,8.74,5.43,7.75,10.00,9.37,10.00,9.79,7.23,4.33,5.74,8.00,7.38,10.00,7.11,3.31,8.00,9.49,4.67,9.43,8.67,7.26,8.05,35,0.77
Norway,8.46,8.30,7.93,10.00,9.47,7.30,9.12,7.98,1.00,8.57,9.89,0.16,8.82,5.90,0.00,27.44,6.24,5.41,9.85,7.63,10.00,10.00,4.62,5.00,6.54,7.60,10.00,8.09,10.00,9.36,7.23,4.54,4.73,6.00,10.00,0.00,5.42,4.75,6.67,9.85,9.58,9.13,9.11,8.18,7.65,84,0.961
Oman,6.09,6.91,7.69,8.33,6.96,5.04,7.69,8.55,0.47,5.26,9.63,0.56,8.88,5.60,5.00,12.49,7.84,6.02,8.56,7.29,10.00,10.00,5.38,0.00,5.13,7.56,10.00,0.00,10.00,6.67,8.90,5.42,7.15,2.00,,10.00,6.69,5.66,5.33,9.82,6.55,8.88,9.24,7.58,6.98,54,0.816
Pakistan,5.35,3.30,4.71,2.50,4.88,3.50,6.64,4.73,0.71,3.80,7.93,3.10,7.58,12.10,5.60,11.01,7.04,4.99,4.33,4.66,10.00,1.64,0.77,0.00,0.80,5.62,8.00,5.27,10.00,7.76,1.10,5.37,5.48,6.00,2.60,10.00,5.09,4.65,5.11,9.40,1.70,8.87,6.83,6.09,6.31,31,0.544
Panama,4.71,4.63,5.84,8.33,5.37,2.69,8.82,5.46,0.94,5.56,9.61,0.58,8.98,5.10,6.21,9.49,8.27,5.87,8.90,7.39,10.00,10.00,10.00,0.00,6.67,8.08,8.00,6.17,10.00,8.06,2.23,3.63,5.99,4.00,4.13,10.00,5.00,3.95,6.22,9.75,6.65,9.20,5.43,6.87,6.64,35,0.805
Papua New Guinea,5.67,4.86,3.58,7.50,5.41,1.01,6.93,5.65,0.82,4.63,6.61,5.08,9.20,4.00,5.97,10.08,7.26,4.92,6.25,5.59,10.00,3.00,7.69,0.00,3.56,6.60,10.00,4.57,10.00,8.19,7.77,4.92,5.17,10.00,7.01,10.00,7.48,4.37,3.11,8.49,3.05,7.38,7.68,5.68,7.12,27,0.558
Paraguay,4.32,3.48,5.27,2.50,4.65,4.07,8.54,2.84,1.00,4.46,9.12,1.32,8.08,9.60,6.77,8.06,7.99,5.88,5.96,5.92,10.00,4.48,3.85,0.00,2.77,6.67,8.00,6.90,9.00,7.97,5.57,3.28,6.76,6.00,2.60,3.00,4.53,4.28,4.44,8.33,4.99,8.94,5.76,6.13,6.21,28,0.717
Peru,5.32,3.80,4.24,7.50,5.68,4.68,8.54,3.02,1.00,5.35,9.73,0.40,9.52,2.40,8.43,3.94,9.23,5.51,6.65,6.08,10.00,10.00,8.46,0.00,6.15,7.86,8.00,5.39,9.00,7.46,3.90,2.80,7.51,10.00,7.04,10.00,6.87,2.55,6.44,9.07,6.41,8.68,7.09,6.71,7.02,38,0.762
Philippines,4.88,3.82,5.82,4.17,4.78,4.18,7.93,3.34,0.82,4.44,6.57,5.15,8.78,6.10,7.34,6.65,7.56,5.99,5.09,5.54,10.00,4.48,0.77,0.00,1.75,6.21,8.00,7.71,10.00,8.57,7.77,5.03,6.99,10.00,2.52,10.00,7.05,3.32,5.33,8.70,3.51,8.96,8.08,6.32,7.31,34,0.699
Poland,4.78,6.07,5.14,10.00,6.29,4.56,7.35,5.15,1.00,6.17,8.60,2.10,8.98,5.10,6.51,8.72,8.03,5.74,9.98,7.86,10.00,7.00,2.31,5.00,4.77,7.67,5.00,6.52,10.00,7.17,5.57,3.86,7.43,8.00,7.76,10.00,7.10,3.14,8.44,8.66,6.41,8.68,6.26,6.93,7.07,56,0.876
Portugal,7.10,6.22,6.54,10.00,7.99,4.23,7.41,7.97,1.00,7.18,8.60,2.10,8.98,5.10,6.51,8.72,8.03,7.34,9.98,8.66,10.00,10.00,6.15,5.00,7.05,8.44,5.00,6.70,6.00,5.90,2.23,3.51,6.05,6.00,7.04,10.00,5.81,3.48,7.11,9.77,6.78,8.31,7.28,7.12,6.28,61,0.866
Qatar,5.95,7.10,7.41,6.67,7.00,4.86,9.88,7.92,0.53,5.43,9.31,1.03,8.98,5.10,6.76,8.11,8.35,6.63,7.47,7.05,10.00,10.00,4.62,0.00,4.87,7.57,5.00,10.00,10.00,8.33,10.00,6.96,7.40,4.00,4.82,3.00,6.03,6.61,6.67,9.65,5.68,9.49,9.54,7.94,7.43,63,0.855
Romania,6.38,5.15,6.07,8.33,6.28,5.04,9.30,6.59,1.00,6.64,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.26,9.97,8.11,10.00,10.00,8.46,5.00,7.82,8.49,8.00,5.05,10.00,7.68,3.90,5.62,6.93,8.00,10.00,10.00,7.41,3.33,5.78,9.36,6.08,6.67,8.17,6.56,7.22,44,0.821
Russian Federation,4.18,4.08,4.47,6.67,4.39,5.09,9.70,5.03,0.88,5.13,7.47,3.80,8.68,6.60,6.96,7.59,7.70,5.19,6.93,6.06,10.00,4.77,2.31,0.00,2.36,6.53,5.00,8.52,10.00,7.84,5.00,5.11,7.82,6.00,8.50,3.00,5.90,3.70,4.00,9.67,3.46,8.23,8.22,6.21,6.65,30,0.822
Rwanda,4.53,6.12,5.79,,4.74,4.81,9.83,7.70,1.00,6.22,8.62,2.07,7.50,12.50,5.15,12.13,7.09,5.94,5.72,5.83,10.00,7.47,8.46,0.00,5.31,7.06,5.00,4.82,9.00,6.27,10.00,5.76,6.86,10.00,7.01,10.00,8.27,6.15,7.33,9.87,4.86,9.32,8.99,7.75,7.43,54,0.534
Saudi Arabia,5.55,6.17,7.89,8.33,6.48,4.73,9.97,8.74,0.88,6.81,9.39,0.92,8.88,5.60,0.77,23.07,6.35,6.18,7.41,6.80,10.00,7.00,0.77,0.00,2.59,6.43,5.00,5.53,10.00,6.84,8.33,6.16,7.73,6.00,4.39,10.00,7.10,6.13,4.44,9.61,3.81,9.29,8.83,7.02,6.99,53,0.875
Senegal,4.98,4.81,5.20,4.17,6.02,3.35,6.89,6.92,0.65,4.36,7.17,4.25,7.58,12.10,7.05,7.38,7.26,5.46,6.23,5.85,10.00,1.64,0.77,0.00,0.80,5.98,10.00,7.58,5.00,7.53,0.00,3.99,6.43,4.00,7.19,0.00,3.60,4.50,5.11,9.56,6.19,8.02,5.34,6.45,5.86,45,0.511
Serbia,5.35,4.61,4.86,6.67,5.58,3.37,8.52,5.12,1.00,5.51,9.47,0.79,8.52,7.40,7.16,7.10,8.38,5.76,9.75,7.75,10.00,,1.54,0.00,0.77,6.73,8.00,6.46,9.00,7.82,2.23,5.02,6.79,10.00,7.51,10.00,6.92,3.49,6.00,9.75,4.59,9.29,7.47,6.77,7.17,38,0.802
Seychelles,6.12,6.02,6.19,,7.61,4.06,7.08,4.86,0.94,5.81,9.49,0.76,9.50,2.50,5.92,10.20,8.30,5.87,5.33,5.60,10.00,10.00,8.46,0.00,6.15,7.51,5.00,0.00,9.00,4.67,8.90,5.13,5.82,8.00,7.53,10.00,7.56,5.17,5.78,8.84,7.55,9.08,9.05,7.58,6.60,66,0.785
Sierra Leone,4.97,3.95,4.40,4.17,6.41,4.18,5.46,4.13,0.94,4.57,7.64,3.54,7.58,12.10,7.05,7.38,7.42,5.15,4.23,4.69,10.00,1.64,0.00,0.00,0.55,5.67,2.00,0.00,9.00,3.67,3.33,4.47,7.05,8.00,0.00,10.00,5.48,2.82,3.11,9.66,7.50,7.91,6.16,6.19,5.11,33,0.477
Singapore,6.40,8.47,8.94,8.33,8.21,7.83,8.96,9.19,1.00,8.29,10.00,0.00,10.00,0.00,10.00,0.00,10.00,8.36,9.20,8.78,10.00,10.00,6.92,0.00,5.64,8.61,10.00,7.79,10.00,9.26,10.00,7.70,8.39,10.00,10.00,0.00,7.68,7.44,9.78,9.95,8.76,9.99,9.28,9.20,8.72,85,0.939
Slovak Republic,5.51,5.12,5.69,10.00,6.85,3.75,9.69,3.99,1.00,6.32,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.11,9.98,8.05,10.00,7.47,5.38,0.00,4.29,7.59,10.00,6.64,10.00,8.88,5.57,3.79,6.59,8.00,7.76,10.00,6.95,2.31,6.44,9.25,7.40,6.03,7.85,6.55,7.46,49,0.848
Slovenia,5.91,5.97,6.07,9.17,7.03,4.23,8.32,7.43,0.94,6.57,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.78,9.98,8.38,10.00,7.00,3.08,0.00,3.36,7.44,5.00,6.98,10.00,7.33,2.23,2.74,6.07,8.00,8.13,10.00,6.20,2.65,7.78,9.63,7.00,6.88,7.39,6.89,6.80,60,0.918
South Africa,6.90,5.99,5.15,8.33,5.64,4.96,6.94,3.65,1.00,5.95,8.79,1.82,8.46,7.70,4.73,13.17,7.33,5.44,4.68,5.06,10.00,1.64,0.77,0.00,0.80,5.80,10.00,2.63,10.00,7.54,5.57,3.13,4.11,8.00,8.27,10.00,6.51,3.36,3.33,8.72,6.34,8.39,7.65,6.30,6.78,44,0.713
Spain,7.00,6.74,6.31,8.33,8.56,5.29,7.75,8.86,1.00,7.35,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.61,9.98,8.29,10.00,10.00,3.08,5.00,6.03,8.09,10.00,4.89,10.00,8.30,3.90,3.71,6.80,8.00,5.07,10.00,6.25,3.14,5.33,9.52,9.30,8.51,8.40,7.37,7.30,62,0.905
Sri Lanka,5.41,5.49,4.56,5.00,5.79,3.61,7.59,4.93,0.88,4.99,7.17,4.24,8.14,9.30,1.82,20.46,5.71,4.81,6.23,5.52,10.00,1.64,0.00,0.00,0.55,5.44,5.00,6.76,10.00,7.25,10.00,4.67,6.29,8.00,0.00,10.00,6.49,3.38,6.00,9.65,3.77,9.52,8.55,6.81,6.85,38,0.782
Sudan,3.88,4.13,3.05,1.67,4.05,3.80,8.94,,0.29,2.73,5.45,6.83,5.70,21.50,3.89,15.27,5.01,5.46,0.92,3.19,10.00,5.52,6.15,0.00,3.89,5.52,,8.03,0.00,4.02,8.33,3.48,4.32,8.00,2.52,0.00,4.44,3.69,3.56,8.71,4.34,6.76,7.98,5.84,4.77,16,0.508
Suriname,5.53,5.44,5.56,5.00,5.56,2.75,4.46,3.16,0.94,4.55,8.39,2.42,7.92,10.40,6.13,9.67,7.48,6.29,6.83,6.56,10.00,1.64,0.00,0.00,0.55,6.15,8.00,8.97,5.00,7.32,5.57,3.48,6.41,10.00,7.01,10.00,7.08,2.90,1.33,6.90,4.78,7.28,7.77,5.16,6.52,38,0.73
Sweden,8.20,8.13,7.54,9.17,8.93,6.11,8.45,6.89,1.00,7.93,8.60,2.10,8.98,5.10,6.51,8.72,8.03,7.03,9.93,8.48,10.00,10.00,3.08,5.00,6.03,8.13,10.00,8.98,8.00,8.99,6.67,4.31,4.30,6.00,10.00,5.00,6.05,4.59,6.22,9.72,9.64,9.01,8.63,7.97,7.67,85,0.947
Switzerland,8.59,8.54,9.04,10.00,8.83,6.25,9.60,9.05,1.00,8.74,9.90,0.15,8.94,5.30,0.46,23.85,6.43,6.22,9.91,8.07,10.00,10.00,3.08,5.00,6.03,7.63,8.00,9.11,10.00,9.04,10.00,8.04,7.90,6.00,10.00,0.00,6.99,6.32,6.22,9.58,9.79,8.37,9.29,8.26,8.10,85,0.962
Syrian Arab Republic,3.26,1.70,5.86,3.33,5.36,3.22,4.09,5.95,0.47,3.01,8.37,2.45,6.70,16.50,0.63,23.43,5.23,5.72,2.81,4.27,0.00,0.00,0.83,0.00,0.28,2.44,2.00,4.76,10.00,5.59,7.23,,,6.00,10.00,0.00,5.81,,0.00,9.13,1.17,,6.23,4.13,5.18,14,0.577
Tajikistan,4.51,3.95,4.83,,1.92,5.67,8.46,5.99,0.88,4.75,9.19,1.22,8.46,7.70,7.66,5.85,8.44,5.32,4.54,4.93,10.00,1.20,6.15,0.00,2.45,6.45,8.00,9.47,8.00,8.49,5.57,5.87,7.37,8.00,7.76,0.00,5.76,5.62,2.89,9.59,2.77,8.35,7.49,6.12,6.79,25,0.685
Tanzania,5.64,4.46,4.83,5.83,7.14,5.71,7.02,5.16,0.88,5.39,7.95,3.08,7.38,13.10,5.02,12.45,6.78,5.03,0.80,2.91,10.00,1.64,1.54,10.00,4.39,6.02,8.00,8.31,9.00,8.44,5.57,4.82,5.95,10.00,8.27,5.00,6.60,4.61,1.33,8.63,6.10,7.91,7.68,6.04,7.03,38,0.549
Thailand,5.41,5.03,5.54,3.33,4.47,5.26,7.46,4.37,0.94,4.96,9.63,0.55,7.96,10.20,3.80,15.50,7.13,5.69,7.99,6.84,10.00,4.17,1.54,0.00,1.90,6.47,8.00,0.00,10.00,6.00,5.57,5.57,5.64,10.00,1.37,0.00,4.69,4.58,6.67,9.78,2.72,9.08,7.43,6.71,5.80,36,0.8
Timor-Leste,5.91,4.51,3.02,,5.99,0.00,,1.40,1.00,3.47,9.45,0.83,9.50,2.50,10.00,0.00,9.65,5.40,5.05,5.22,10.00,,8.46,0.00,4.23,7.28,,1.04,9.00,5.02,2.23,5.73,7.36,8.00,5.51,10.00,6.47,5.58,5.56,9.58,6.80,7.54,7.38,7.07,6.19,40,0.607
Togo,4.66,3.23,6.48,4.17,4.42,3.90,8.81,,1.00,5.10,6.55,5.17,7.58,12.10,7.05,7.38,7.06,4.85,3.29,4.07,10.00,1.64,0.77,0.00,0.80,5.48,10.00,10.00,5.00,8.33,1.67,4.38,5.85,8.00,7.01,0.00,4.48,4.38,4.00,9.81,3.76,8.15,8.22,6.39,6.40,29,0.539
Trinidad and Tobago,6.59,5.15,5.45,8.33,5.46,2.96,6.24,3.59,0.94,5.31,8.90,1.65,8.38,8.10,5.27,11.83,7.52,5.93,6.18,6.05,7.91,8.36,6.15,0.00,4.84,6.58,8.00,0.00,10.00,6.00,10.00,3.62,6.05,10.00,5.14,10.00,7.47,3.46,6.44,9.66,6.66,6.78,7.65,6.77,6.75,40,0.81
Tunisia,5.62,4.69,5.57,5.83,7.89,4.88,7.33,5.78,0.71,5.08,8.83,1.75,7.68,11.60,5.27,11.83,7.26,5.16,8.09,6.63,8.10,1.64,0.77,0.00,0.80,5.70,5.00,5.49,10.00,6.83,6.10,3.35,5.47,10.00,5.51,3.00,5.57,3.18,5.11,9.68,7.09,8.74,8.39,7.03,6.48,44,0.731
Turkey,3.74,3.95,5.42,3.33,4.41,4.50,8.93,5.58,0.94,4.84,9.42,0.87,7.78,11.10,0.81,22.98,6.00,5.56,9.57,7.57,10.00,1.64,2.31,8.41,4.12,6.92,5.00,8.31,4.00,5.77,5.57,4.26,7.10,8.00,2.52,5.00,5.41,4.41,5.33,9.71,1.88,9.28,8.09,6.45,5.88,40,0.838
Uganda,4.77,4.39,5.05,3.33,5.33,4.87,7.92,4.33,0.82,4.56,7.65,3.53,7.26,13.70,4.47,13.84,6.46,5.57,4.62,5.09,10.00,10.00,8.46,0.00,6.15,6.93,8.00,6.58,9.00,7.86,10.00,5.63,8.15,8.00,10.00,10.00,8.63,4.48,4.44,8.81,4.52,9.06,7.81,6.52,7.67,27,0.525
Ukraine,4.05,3.52,3.86,8.33,5.34,4.28,9.16,4.62,0.82,4.92,9.43,0.86,9.10,4.50,7.98,5.04,8.84,5.41,7.24,6.33,10.00,0.00,0.00,0.00,0.00,6.29,5.00,4.85,9.00,6.28,5.57,5.53,5.78,6.00,9.25,0.00,5.35,4.39,4.89,9.79,4.30,9.73,6.33,6.57,6.07,33,0.773
United Arab Emirates,5.83,7.68,7.77,8.33,5.88,5.83,9.91,8.61,0.88,7.04,10.00,0.00,9.08,4.60,7.92,5.20,9.00,7.11,8.33,7.72,10.00,10.00,5.38,0.00,5.13,7.96,5.00,10.00,8.00,7.67,10.00,6.93,7.38,6.00,10.00,0.00,6.72,7.03,6.44,9.69,7.31,10.00,8.70,8.20,7.53,71,0.911
United Kingdom,7.78,7.47,7.49,10.00,8.18,6.07,8.02,6.98,1.00,7.75,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.62,9.32,7.97,10.00,10.00,4.62,0.00,4.87,7.72,8.00,1.09,10.00,6.36,8.90,6.64,7.40,8.00,8.53,10.00,8.25,5.56,5.33,9.86,9.72,9.52,8.72,8.12,7.58,77,0.929
United States,7.57,7.71,7.60,6.67,7.41,6.76,8.92,7.81,1.00,7.56,9.07,1.40,9.32,3.40,6.48,8.81,8.29,6.52,9.80,8.16,10.00,10.00,3.85,0.00,4.62,7.77,10.00,1.94,10.00,7.31,8.90,7.18,7.79,10.00,10.00,10.00,8.98,5.77,6.89,9.86,8.08,9.60,8.04,8.04,8.11,67,0.921
Uruguay,7.76,6.65,6.81,5.83,6.58,3.59,6.45,5.05,0.94,5.91,8.62,2.07,7.94,10.30,6.87,7.83,7.81,5.79,6.57,6.18,10.00,10.00,8.46,0.00,6.15,7.54,5.00,7.13,10.00,7.38,8.90,2.51,1.61,8.00,4.61,10.00,5.94,3.18,7.11,9.54,8.62,6.59,8.17,7.20,6.84,71,0.809
Venezuela,2.20,1.18,0.98,1.67,2.22,2.44,8.14,1.37,1.00,2.52,8.45,2.33,7.24,13.80,6.08,9.80,7.26,3.76,10.00,6.88,10.00,0.00,0.00,0.00,0.00,6.03,5.00,0.00,5.00,3.33,0.00,1.56,5.66,4.00,,0.00,2.24,1.28,0.00,4.44,0.79,4.98,0.00,1.91,2.50,15,0.691
Vietnam,3.48,4.30,4.97,5.00,5.43,5.09,8.79,5.30,0.94,5.14,9.12,1.32,8.10,9.50,5.40,11.50,7.54,4.88,5.75,5.32,10.00,4.17,0.77,0.00,1.65,6.13,,8.32,10.00,9.16,7.77,5.46,6.53,10.00,2.52,0.00,5.38,3.98,6.22,9.43,4.43,8.21,5.70,6.33,6.96,36,0.703
"Yemen, Rep.",2.94,2.25,2.78,4.17,2.77,3.78,9.05,3.43,0.41,2.75,8.92,1.62,8.48,7.60,7.81,5.47,8.40,4.05,10.00,7.02,0.00,10.00,6.92,1.33,6.08,5.38,,0.00,0.00,0.00,8.90,3.37,7.00,8.00,2.52,10.00,6.63,2.94,0.00,8.28,2.16,,7.22,4.12,3.58,15,0.455
Zambia,4.89,4.52,4.78,8.33,5.12,3.51,6.03,3.58,0.94,4.95,8.82,1.77,7.30,13.50,5.41,11.48,7.18,5.28,2.43,3.85,10.00,10.00,8.46,0.00,6.15,6.80,5.00,7.15,9.00,7.05,3.33,4.80,7.49,8.00,0.00,10.00,5.60,4.22,3.11,9.37,4.73,7.85,8.23,6.25,6.30,33,0.565
Zimbabwe,4.11,3.29,3.06,3.33,4.60,2.37,7.05,3.90,1.00,3.97,7.61,3.59,,,,,7.61,5.20,1.33,3.26,10.00,4.17,0.00,0.00,1.39,5.57,8.00,10.00,2.00,6.67,6.67,2.96,3.55,8.00,6.26,10.00,6.24,2.41,2.67,8.33,3.33,7.99,7.29,5.34,6.08,24,0.593